stop1|stop2|dist_ft|dist_miles
302947|302948|531.3699951|0.100638
303019|303020|802.4580078|0.151981
303017|302368|485.381012|0.0919283
302948|303017|952.4180298|0.180382
302368|303019|696.40802|0.131895
303030|306465|794.1090088|0.150399
303029|303030|797.9420166|0.151125
303028|303029|793.960022|0.150371
303027|303028|894.6339722|0.169438
303026|303027|1041.80|0.19731
303025|303026|770.565979|0.14594
303024|303025|607.8079834|0.115115
303023|303024|793.7369995|0.150329
303022|303023|830.3989868|0.157273
303021|303022|830.5689697|0.157305
303020|303021|840.9310303|0.159267
306465|303032|821.5|0.155587
306395|303035|261.2799988|0.0494848
303036|303037|767.8129883|0.145419
303035|303036|435.7600098|0.0825304
303034|306395|665.9039917|0.126118
303033|303034|819.4299927|0.155195
303032|303033|821.7089844|0.155627
302945|307491|621.4279785|0.117695
307491|302947|767.5700073|0.145373
307460|302945|647.9509888|0.122718
303039|303040|500.1390076|0.0947232
303038|303039|937.1259766|0.177486
303037|303038|459.0629883|0.0869437
303011|307460|1681.95|0.318551
504238|504241|76.0631027|0.0144059
504241|504239|608.0560303|0.115162
504239|801068|472.0830078|0.0894097
504234|504236|633.7459717|0.120028
504233|504234|530.5310059|0.100479
504232|504233|507.197998|0.0960603
504231|504232|779.8950195|0.147707
504237|504238|521.0549927|0.0986847
504236|504237|524.927002|0.0994181
303040|303041|823.3790283|0.155943
303041|303042|1325.15|0.250976
303042|303043|723.3380127|0.136996
303043|303044|545.4589844|0.103307
303044|504229|483.3169861|0.0915373
504229|504230|843.1010132|0.159678
504230|504231|457.5249939|0.0866524
504240|503883|508.42099|0.0962919
503884|503885|797.9639893|0.151129
503883|503884|1495.51|0.283241
503885|503884|2562.59|0.48534
